1.23747e+7, 3.54006e-9
1.40902e+7, 3.21694e-9
1.60436e+7, 3.04776e-9
1.82678e+7, 2.58523e-9
2.08004e+7, 2.07120e-9
2.36840e+7, 1.80202e-9
2.69674e+7, 1.60959e-9
3.07061e+7, 1.47732e-9
3.49630e+7, 1.35103e-9
3.98100e+7, 1.21553e-9
4.53291e+7, 1.07984e-9
5.16133e+7, 9.55820e-10
5.87687e+7, 8.82063e-10
6.69160e+7, 8.34161e-10
7.61929e+7, 7.84583e-10
8.67559e+7, 7.36616e-10
9.87832e+7, 6.94092e-10
1.12478e+8, 6.62975e-10
1.28071e+8, 6.59016e-10
1.45826e+8, 6.24924e-10
1.66043e+8, 5.65316e-10
1.89062e+8, 5.41934e-10
2.15273e+8, 5.41635e-10
2.45117e+8, 5.33059e-10
2.79099e+8, 5.30837e-10
3.17792e+8, 5.27667e-10
3.61848e+8, 5.24040e-10
4.12013e+8, 5.16211e-10
4.69132e+8, 5.14992e-10
5.34170e+8, 5.22699e-10
6.08225e+8, 5.22884e-10
6.92546e+8, 5.16943e-10
7.88556e+8, 5.26108e-10
8.97878e+8, 5.33982e-10
1.02235e+9, 5.40012e-10
1.16409e+9, 5.45121e-10
1.32547e+9, 5.52278e-10
1.50923e+9, 5.60035e-10
1.71846e+9, 5.78289e-10
1.95670e+9, 5.88542e-10
2.22796e+9, 5.89284e-10
2.53683e+9, 6.00820e-10
2.88853e+9, 6.14806e-10
3.28898e+9, 6.30830e-10
3.74494e+9, 6.47860e-10
4.26412e+9, 6.67765e-10
4.85527e+9, 6.86413e-10
5.52838e+9, 7.01119e-10
6.29481e+9, 7.20699e-10
7.16748e+9, 7.42842e-10
8.16115e+9, 7.70538e-10
9.29256e+9, 8.00717e-10
1.05808e+10, 8.27566e-10
1.20477e+10, 8.55315e-10
1.37179e+10, 8.84796e-10
1.56197e+10, 9.16123e-10
1.74730e+10, 9.46250e-10
